country,Total,Fossil Fuels,Renewables Total,Wind Onshore,Conventional Thermal,Thermal - Fossil Natural Gas,Thermal - Nuclear,Tech 63,Tech 64,Nuclear,Tech 72,Tech 73,Coal,Lignite,Nuclear - Reactor Type B,Thermal - Fossil Hard Coal,Thermal - Fossil Brown Coal/Lignite,Thermal - Fossil Fuels,Thermal - Fossil Oil,Fossil - Gas,Oil,Nuclear - Reactor Type A,Wind - Onshore (Detailed),Wind - Offshore (Detailed),Wind Offshore,Nuclear - Other,Thermal - Peat,Hydro - Pumped Storage,Thermal - Biogas,Hydro - Run-of-River,Tech 36,Biomass - Gas,Biomass - Solid,Tech 81,Solar - Photovoltaic,Thermal - Gas Derived,Hydro - Reservoir,Tech 75,Tech 76,Tidal Wave,Tidal,Tech 85,Tech 84,Solar,Biomass - Biogas,Biomass - Liquid Biofuel,Tech 78,Hydro Total,Fuel Cell,Ocean Thermal,Tech 79,Geothermal,Tech 65,Tech 74,Hard Coal,Other Fossil,Hydro - Other,Tech 124,Thermal - Biomass,Thermal - Waste,Biomass,Peat,Gas - Natural Gas,Geothermal - Electric,Geothermal - Heat,Solar PV,Solar Thermal,Fossil - Solid,Tech 14,Pure Hydrogen,Other Renewables,Tech 125,Wave,Tech 126,Tech 127,Liquefied Gas,Tech 77,Biogas,Solar - PV (Detailed),Solar - Thermal (Detailed),Other Gases,Tech 80,Thermal - Other Fossil,Gas - Derived Gas,Fossil - Oil Products,Fossil - Shale Oil,Biomass - Gas Landfill,Biomass - Gas Other,Industrial Waste,Municipal Waste,Solar - Thermal,Concentrated Solar Power,Other Thermal,Biomass - Liquid,Biomass - Gas Sewage,Other Marine,Thermal - Renewable Biomass,Thermal - Renewable,Solar - CSP
Austria,32098.371,23136.406,6353.178,4506.622,6888.54,0.0,6888.54,3896.294,3896.294,8961.965,3896.294,3896.294,14952.109,14535.454,6698.754,6698.754,0.0,189.786,0.0,9391.629,8974.974,189.786,0.0,0.0,1846.556,3096.836,0.0,3048.168,0.0,5560.48,5560.48,0.0,0.0,0.0,0.0,0.0,48.668,274.369,274.369,8.0,8.0,0.0,0.0,182.754,0.0,0.0,0.0,146.161,0.0,0.0,0.0,0.0,0.0,0.0,416.655,416.655,0.0,0.0,0.0,0.0,0.0,539.243,539.243,0.0,0.0,0.25,0.25,0.0,36.593,494.8,494.8,0.0,0.0,0.0,0.0,15.459,0.0,0.0,0.0,0.0,15.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,27285.2,17131.3,7982.0,6184.3,8360.4,8360.4,9972.5,5454.0,5437.4,10153.9,3192.2,3175.6,1429.1,1429.1,9946.3,8339.1,8339.1,21.3,21.3,122.1,122.1,26.2,3928.0,3928.0,1797.7,1955.2,1580.6,1940.4,1568.8,0.0,0.0,1307.0,1307.0,2261.8,2261.8,11.8,14.8,277.2,275.5,131.7,131.2,0.0,0.0,10.3,0.0,0.0,126.6,0.0,0.0,0.0,126.6,184.5,16.6,16.6,0.0,0.0,0.0,0.0,0.0,0.0,138.8,1.0,1.0,1008.0,1008.0,0.0,0.0,45.7,10.3,0.0,0.0,0.0,0.5,0.0,0.0,1.2,1.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,14547.513,14047.383,5485.966,5131.911,2927.247,2927.247,2938.993,704.31,704.31,500.13,704.31,704.31,3423.99,3423.99,157.821,146.075,146.075,2781.172,2781.172,2410.99,2410.99,2781.172,2006.0,2006.0,354.055,1201.925,1197.836,80.22,76.131,149.0,149.0,864.0,864.0,0.0,0.0,1121.705,1121.705,0.0,0.0,0.0,0.0,0.0,0.0,66.09,0.0,0.0,0.0,66.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.686,2.686,2.686,2.686,0.0,1.895,1.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,22087.098,18541.428,11900.195,10268.072,3250.961,3250.961,3272.968,342.5,342.5,3545.67,342.5,342.5,2288.392,2148.13,1779.743,1767.485,1767.485,1483.476,1483.476,1116.892,976.63,1493.225,4290.0,4290.0,1632.123,1779.743,1767.485,1779.743,1767.485,0.0,0.0,1171.5,1171.5,0.0,0.0,0.0,0.0,3.405,3.405,15.05,9.25,0.0,0.0,116.239,0.0,0.0,0.0,80.087,0.0,0.0,0.0,7.659,0.0,0.0,140.262,140.262,927.256,927.256,920.283,920.283,5.634,51.657,51.337,0.0,0.0,0.0,0.0,2.025,36.152,0.0,0.0,0.0,5.8,0.0,0.0,48.34,0.0,3.214,0.0,0.0,45.126,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,18343.447,14280.828,7516.523,6982.904,3529.0,3529.0,0.0,7290.833,7290.833,4062.619,4821.733,4821.733,7.091,7.091,0.0,3529.0,3529.0,0.0,0.0,7.091,7.091,0.0,0.0,0.0,533.619,0.0,459.1,0.0,459.1,0.0,0.0,0.0,0.0,2469.1,2469.1,0.0,0.0,34.827,34.827,0.0,0.0,168.0,168.0,50.203,0.0,0.0,11.441,42.535,0.0,0.0,11.441,49.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.948,0.0,0.0,0.0,0.0,0.0,0.0,19.715,7.668,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,152839.127,142431.461,21397.171,17624.486,19749.307,19749.307,25671.63,23131.614,22362.819,10407.665,21609.93,20851.362,26058.343,25863.588,7368.572,5670.03,5670.03,14079.276,14079.276,18957.913,18763.158,18303.058,61400.0,61400.0,3772.685,4683.181,3603.681,1987.66,1530.203,5372.77,5372.77,1728.14,1728.14,1486.5,1483.0,2073.478,2695.521,1692.88,1685.005,874.702,874.702,993.0,993.0,531.174,0.0,0.0,496.701,298.406,0.0,0.0,482.879,0.0,768.795,758.568,194.755,194.755,366.567,366.567,281.975,281.975,0.0,149.14,135.372,0.0,0.0,16.15,14.75,0.0,232.768,0.0,0.0,0.0,0.0,211.84,211.84,0.0,7.875,0.0,0.0,0.0,0.0,13.822,0.0,13.768,0.0,0.0,7.3,6.5,0.48,0.48,3.5,0.0,0.0,1.4,0.8,0.0,0.25,0.25,0.0
Germany,261946.0,209194.0,100433.0,88957.0,75519.0,75519.0,83994.0,69438.0,69438.0,52752.0,60965.0,60965.0,10951.0,10481.0,45225.0,40662.0,40662.0,34857.0,34857.0,4566.0,4096.0,38769.0,4205.0,4205.0,11476.0,14950.0,14352.0,8050.0,7728.0,1040.0,1040.0,5345.0,5345.0,8473.0,8473.0,6624.0,6900.0,3585.0,3585.0,1348.0,1204.0,257.0,257.0,127.0,0.0,0.0,606.0,99.0,0.0,0.0,606.0,564.0,0.0,0.0,470.0,470.0,23.0,11.0,21.0,10.0,312.0,166.0,166.0,0.0,0.0,52.0,52.0,252.0,28.0,0.0,0.0,12.0,144.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,25832.629,25198.926,10453.223,9819.52,6688.703,6688.703,7089.6,5231.703,5231.703,633.703,5231.703,5231.703,3459.0,3459.0,0.0,0.0,0.0,6688.703,6688.703,2760.0,2760.0,7089.6,0.0,0.0,633.703,1659.517,1258.62,0.0,0.0,699.0,699.0,0.0,0.0,0.0,0.0,1258.62,1659.517,529.373,529.373,0.0,0.0,0.0,0.0,18.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,18.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,130060.152,104098.262,61015.606,51218.982,29351.396,29351.396,30319.415,12307.3,12299.842,25961.89,12276.306,12268.848,22911.976,22801.353,16566.681,15891.292,15891.292,13460.104,13460.104,15659.956,15549.333,13752.734,0.0,0.0,9796.624,5264.61,4805.241,4123.458,3789.199,3282.47,3282.47,3969.55,3969.55,30.994,30.994,1016.042,1141.152,485.92,483.445,3702.084,3546.191,0.994,0.994,1576.605,0.0,0.0,0.122,1427.615,2120.448,2120.184,0.122,695.689,7.458,7.458,110.623,110.623,9.114,0.531,9.093,0.531,554.009,62.698,62.058,0.0,0.0,771.79,771.79,141.68,148.99,0.0,0.0,8.583,155.893,0.0,0.0,11.511,2.475,11.196,0.0,0.0,0.315,0.0,8.562,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441,2.287,0.0,0.0,0.264,0.0,0.0,0.154
Netherlands,58298.108,32875.774,24353.942,17711.765,21956.638,21956.638,24712.3,10801.618,9865.353,25422.334,6692.118,5755.853,37.7,37.7,19823.323,17820.682,17820.682,4135.956,4135.956,37.7,37.7,4888.977,512.0,512.0,6642.177,4765.629,4606.905,3847.037,3873.513,0.0,0.0,0.0,0.0,4109.5,4109.5,733.392,918.592,669.939,566.789,636.21,613.0,1540.0,1540.0,171.077,0.0,0.0,108.43,58.0,97.0,97.0,93.34,202.595,936.265,936.265,0.0,0.0,0.0,0.0,6.73,0.0,70.292,0.0,0.0,0.0,0.0,0.0,0.0,132.303,113.077,0.0,0.0,0.0,23.21,0.0,0.0,0.0,103.15,0.0,0.0,0.0,0.0,15.09,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
