country,country_code,technology,technology_code,capacity_mw,year,technology_name
Germany,DE,Wind Offshore,11,11063.0,2021,Wind Offshore
Germany,DE,Wind Onshore,10,88178.0,2021,Wind Onshore
Germany,DE,Renewables Total,9,99241.0,2021,Renewables Total
Germany,DE,Wind - Offshore (Detailed),136,8113.0,2021,Wind - Offshore (Detailed)
Germany,DE,Wind - Onshore (Detailed),135,8113.0,2021,Wind - Onshore (Detailed)
Germany,DE,Hard Coal,20,35.0,2021,Hard Coal
Germany,DE,Lignite,19,10809.0,2021,Lignite
Germany,DE,Coal,18,10844.0,2021,Coal
Germany,DE,Other Fossil,29,35.0,2021,Other Fossil
Germany,DE,Oil,28,4321.0,2021,Oil
Germany,DE,Fossil - Gas,27,4356.0,2021,Fossil - Gas
Germany,DE,Hydro - Run-of-River,37,1134.0,2021,Hydro - Run-of-River
Germany,DE,Tech 36,36,1134.0,2021,Tech 36
Germany,DE,Biomass - Gas,46,5354.0,2021,Biomass - Gas
Germany,DE,Biomass - Solid,45,5354.0,2021,Biomass - Solid
Germany,DE,Solar Thermal,55,46.0,2021,Solar Thermal
Germany,DE,Solar PV,54,46.0,2021,Solar PV
Germany,DE,Tech 64,64,63711.0,2021,Tech 64
Germany,DE,Tech 63,63,63711.0,2021,Tech 63
Germany,DE,Biomass - Biogas,91,2.0,2021,Biomass - Biogas
Germany,DE,Biomass - Liquid Biofuel,90,2.0,2021,Biomass - Liquid Biofuel
Germany,DE,Thermal - Fossil Fuels,100,60036.0,2021,Thermal - Fossil Fuels
Germany,DE,Conventional Thermal,99,60036.0,2021,Conventional Thermal
Germany,DE,Nuclear - Reactor Type A,118,60036.0,2021,Nuclear - Reactor Type A
Germany,DE,Thermal - Nuclear,117,60036.0,2021,Thermal - Nuclear
Germany,DE,Nuclear,2,11242.0,2021,Nuclear
Germany,DE,Fossil Fuels,1,171370.0,2021,Fossil Fuels
Germany,DE,Total,0,182612.0,2021,Total
Germany,DE,Wave,146,144.0,2021,Wave
Germany,DE,Tidal,145,511.0,2021,Tidal
Germany,DE,Tidal Wave,144,655.0,2021,Tidal Wave
France,FR,Wind Offshore,11,3588.383,2021,Wind Offshore
France,FR,Wind Onshore,10,17625.033,2021,Wind Onshore
France,FR,Renewables Total,9,21213.416,2021,Renewables Total
France,FR,Wind - Offshore (Detailed),136,61400.0,2021,Wind - Offshore (Detailed)
France,FR,Wind - Onshore (Detailed),135,61400.0,2021,Wind - Onshore (Detailed)
France,FR,Hard Coal,20,177.377,2021,Hard Coal
France,FR,Lignite,19,25758.419,2021,Lignite
France,FR,Coal,18,25935.796,2021,Coal
France,FR,Other Fossil,29,177.377,2021,Other Fossil
France,FR,Oil,28,18657.841,2021,Oil
France,FR,Fossil - Gas,27,18835.218,2021,Fossil - Gas
France,FR,Gas - Derived Gas,32,0.428,2021,Gas - Derived Gas
France,FR,Gas - Natural Gas,31,113.529,2021,Gas - Natural Gas
France,FR,Peat,30,113.957,2021,Peat
France,FR,Biogas,34,90.866,2021,Biogas
France,FR,Liquefied Gas,33,90.866,2021,Liquefied Gas
France,FR,Hydro - Run-of-River,37,5372.918,2021,Hydro - Run-of-River
France,FR,Tech 36,36,5372.918,2021,Tech 36
France,FR,Municipal Waste,40,13.323,2021,Municipal Waste
France,FR,Industrial Waste,39,13.323,2021,Industrial Waste
France,FR,Biomass - Gas,46,1727.66,2021,Biomass - Gas
France,FR,Biomass - Solid,45,1727.66,2021,Biomass - Solid
France,FR,Biomass - Liquid,56,1.4,2021,Biomass - Liquid
France,FR,Solar Thermal,55,14.75,2021,Solar Thermal
France,FR,Solar PV,54,16.15,2021,Solar PV
France,FR,Tech 65,65,636.473,2021,Tech 65
France,FR,Tech 64,64,17797.448,2021,Tech 64
France,FR,Tech 63,63,18433.921,2021,Tech 63
France,FR,Tech 74,74,645.823,2021,Tech 74
France,FR,Tech 73,73,17781.7,2021,Tech 73
France,FR,Tech 72,72,18427.523,2021,Tech 72
France,FR,Tech 77,77,95.906,2021,Tech 77
France,FR,Tech 76,76,901.341,2021,Tech 76
France,FR,Tech 75,75,997.247,2021,Tech 75
France,FR,Tech 80,80,1.79,2021,Tech 80
France,FR,Tech 79,79,8.907,2021,Tech 79
France,FR,Tech 78,78,10.697,2021,Tech 78
France,FR,Solar - Thermal,83,3.5,2021,Solar - Thermal
France,FR,Solar - Photovoltaic,82,10.8,2021,Solar - Photovoltaic
France,FR,Tech 81,81,14.3,2021,Tech 81
France,FR,Thermal - Fossil Hard Coal,101,3397.763,2021,Thermal - Fossil Hard Coal
France,FR,Thermal - Fossil Fuels,100,10437.164,2021,Thermal - Fossil Fuels
France,FR,Conventional Thermal,99,13834.927,2021,Conventional Thermal
France,FR,Thermal - Fossil Brown Coal/Lignite,110,3397.763,2021,Thermal - Fossil Brown Coal/Lignite
France,FR,Thermal - Fossil Oil,109,10437.164,2021,Thermal - Fossil Oil
France,FR,Thermal - Fossil Natural Gas,108,13834.927,2021,Thermal - Fossil Natural Gas
France,FR,Thermal - Biogas,113,657.811,2021,Thermal - Biogas
France,FR,Thermal - Gas Derived,112,2604.018,2021,Thermal - Gas Derived
France,FR,Thermal - Peat,111,3261.83,2021,Thermal - Peat
France,FR,Thermal - Waste,115,309.753,2021,Thermal - Waste
France,FR,Thermal - Biomass,114,309.753,2021,Thermal - Biomass
France,FR,Nuclear - Reactor Type B,119,4416.682,2021,Nuclear - Reactor Type B
France,FR,Nuclear - Reactor Type A,118,13568.312,2021,Nuclear - Reactor Type A
France,FR,Thermal - Nuclear,117,17984.994,2021,Thermal - Nuclear
France,FR,Hydro - Pumped Storage,122,854.904,2021,Hydro - Pumped Storage
France,FR,Hydro - Reservoir,121,3385.224,2021,Hydro - Reservoir
France,FR,Nuclear - Other,120,4240.128,2021,Nuclear - Other
France,FR,Tech 124,124,402.679,2021,Tech 124
France,FR,Hydro - Other,123,402.679,2021,Hydro - Other
France,FR,Tech 127,127,211.192,2021,Tech 127
France,FR,Tech 126,126,211.192,2021,Tech 126
France,FR,Biomass - Gas,133,0.573,2021,Biomass - Gas
France,FR,Biomass - Solid,132,0.573,2021,Biomass - Solid
France,FR,Nuclear,2,7801.396,2021,Nuclear
France,FR,Fossil Fuels,1,133632.795,2021,Fossil Fuels
France,FR,Total,0,141434.191,2021,Total
France,FR,Tidal,145,388.789,2021,Tidal
France,FR,Tidal Wave,144,388.789,2021,Tidal Wave
Spain,ES,Wind Offshore,11,5929.485,2021,Wind Offshore
Spain,ES,Wind Onshore,10,33848.721,2021,Wind Onshore
Spain,ES,Renewables Total,9,39778.206,2021,Renewables Total
Spain,ES,Wind - Offshore (Detailed),136,7117.29,2021,Wind - Offshore (Detailed)
Spain,ES,Wind - Onshore (Detailed),135,7117.29,2021,Wind - Onshore (Detailed)
Spain,ES,Hard Coal,20,369.0,2021,Hard Coal
Spain,ES,Lignite,19,19763.368,2021,Lignite
Spain,ES,Coal,18,20132.368,2021,Coal
Spain,ES,Other Fossil,29,369.0,2021,Other Fossil
Spain,ES,Oil,28,13360.778,2021,Oil
Spain,ES,Fossil - Gas,27,13729.778,2021,Fossil - Gas
Spain,ES,Hydro - Run-of-River,37,3071.19,2021,Hydro - Run-of-River
Spain,ES,Tech 36,36,3071.19,2021,Tech 36
Spain,ES,Biomass - Gas,46,3331.4,2021,Biomass - Gas
Spain,ES,Biomass - Solid,45,3331.4,2021,Biomass - Solid
Spain,ES,Tech 65,65,60.587,2021,Tech 65
Spain,ES,Tech 64,64,27847.064,2021,Tech 64
Spain,ES,Tech 63,63,27907.651,2021,Tech 63
Spain,ES,Biomass - Biogas,91,2304.013,2021,Biomass - Biogas
Spain,ES,Biomass - Liquid Biofuel,90,2304.013,2021,Biomass - Liquid Biofuel
Spain,ES,Thermal - Fossil Hard Coal,101,763.98,2021,Thermal - Fossil Hard Coal
Spain,ES,Thermal - Fossil Fuels,100,12951.215,2021,Thermal - Fossil Fuels
Spain,ES,Conventional Thermal,99,13715.195,2021,Conventional Thermal
Spain,ES,Thermal - Fossil Brown Coal/Lignite,110,763.98,2021,Thermal - Fossil Brown Coal/Lignite
Spain,ES,Thermal - Fossil Oil,109,12951.215,2021,Thermal - Fossil Oil
Spain,ES,Thermal - Fossil Natural Gas,108,13715.195,2021,Thermal - Fossil Natural Gas
Spain,ES,Thermal - Biogas,113,578.925,2021,Thermal - Biogas
Spain,ES,Thermal - Gas Derived,112,3000.682,2021,Thermal - Gas Derived
Spain,ES,Thermal - Peat,111,3579.607,2021,Thermal - Peat
Spain,ES,Tech 127,127,4.796,2021,Tech 127
Spain,ES,Tech 126,126,4.796,2021,Tech 126
Spain,ES,Nuclear,2,7123.052,2021,Nuclear
Spain,ES,Fossil Fuels,1,103890.562,2021,Fossil Fuels
Spain,ES,Total,0,111013.614,2021,Total
Spain,ES,Tidal,145,54.095,2021,Tidal
Spain,ES,Tidal Wave,144,54.095,2021,Tidal Wave
Italy,IT,Wind Offshore,11,9730.694,2021,Wind Offshore
Italy,IT,Wind Onshore,10,49765.7,2021,Wind Onshore
Italy,IT,Renewables Total,9,59496.394,2021,Renewables Total
Italy,IT,Hard Coal,20,101.932,2021,Hard Coal
Italy,IT,Lignite,19,22647.728,2021,Lignite
Italy,IT,Coal,18,22749.66,2021,Coal
Italy,IT,Other Fossil,29,101.932,2021,Other Fossil
Italy,IT,Oil,28,15426.796,2021,Oil
Italy,IT,Fossil - Gas,27,15528.728,2021,Fossil - Gas
Italy,IT,Hydro - Run-of-River,37,3280.552,2021,Hydro - Run-of-River
Italy,IT,Tech 36,36,3280.552,2021,Tech 36
Italy,IT,Biomass - Gas,46,3940.38,2021,Biomass - Gas
Italy,IT,Biomass - Solid,45,3940.38,2021,Biomass - Solid
Italy,IT,Solar Thermal,55,771.79,2021,Solar Thermal
Italy,IT,Solar PV,54,771.79,2021,Solar PV
Italy,IT,Tech 65,65,2.333,2021,Tech 65
Italy,IT,Tech 64,64,11251.4,2021,Tech 64
Italy,IT,Tech 63,63,11253.733,2021,Tech 63
Italy,IT,Thermal - Fossil Hard Coal,101,10293.235,2021,Thermal - Fossil Hard Coal
Italy,IT,Thermal - Fossil Fuels,100,11987.716,2021,Thermal - Fossil Fuels
Italy,IT,Conventional Thermal,99,22280.951,2021,Conventional Thermal
Italy,IT,Thermal - Fossil Brown Coal/Lignite,110,10293.235,2021,Thermal - Fossil Brown Coal/Lignite
Italy,IT,Thermal - Fossil Oil,109,11987.716,2021,Thermal - Fossil Oil
Italy,IT,Thermal - Fossil Natural Gas,108,22280.951,2021,Thermal - Fossil Natural Gas
Italy,IT,Thermal - Biogas,113,801.635,2021,Thermal - Biogas
Italy,IT,Thermal - Gas Derived,112,78.649,2021,Thermal - Gas Derived
Italy,IT,Thermal - Peat,111,880.284,2021,Thermal - Peat
Italy,IT,Thermal - Other Fossil,116,3.827,2021,Thermal - Other Fossil
Italy,IT,Thermal - Waste,115,0.973,2021,Thermal - Waste
Italy,IT,Thermal - Biomass,114,4.8,2021,Thermal - Biomass
Italy,IT,Nuclear - Reactor Type B,119,10482.849,2021,Nuclear - Reactor Type B
Italy,IT,Nuclear - Reactor Type A,118,12111.452,2021,Nuclear - Reactor Type A
Italy,IT,Thermal - Nuclear,117,22594.301,2021,Thermal - Nuclear
Italy,IT,Hydro - Pumped Storage,122,852.824,2021,Hydro - Pumped Storage
Italy,IT,Hydro - Reservoir,121,83.965,2021,Hydro - Reservoir
Italy,IT,Nuclear - Other,120,936.789,2021,Nuclear - Other
Italy,IT,Tech 125,125,3.907,2021,Tech 125
Italy,IT,Tech 124,124,0.993,2021,Tech 124
Italy,IT,Hydro - Other,123,4.9,2021,Hydro - Other
Italy,IT,Nuclear,2,20279.551,2021,Nuclear
Italy,IT,Fossil Fuels,1,96566.762,2021,Fossil Fuels
Italy,IT,Total,0,116846.313,2021,Total
Italy,IT,Wave,146,151.357,2021,Wave
Italy,IT,Tidal,145,142.428,2021,Tidal
Italy,IT,Tidal Wave,144,293.785,2021,Tidal Wave
Netherlands,NL,Wind Offshore,11,6534.043,2021,Wind Offshore
Netherlands,NL,Wind Onshore,10,17771.767,2021,Wind Onshore
Netherlands,NL,Renewables Total,9,24305.81,2021,Renewables Total
Netherlands,NL,Wind - Offshore (Detailed),136,512.0,2021,Wind - Offshore (Detailed)
Netherlands,NL,Wind - Onshore (Detailed),135,512.0,2021,Wind - Onshore (Detailed)
Netherlands,NL,Lignite,19,37.7,2021,Lignite
Netherlands,NL,Coal,18,37.7,2021,Coal
Netherlands,NL,Oil,28,37.7,2021,Oil
Netherlands,NL,Fossil - Gas,27,37.7,2021,Fossil - Gas
Netherlands,NL,Tech 65,65,716.515,2021,Tech 65
Netherlands,NL,Tech 64,64,6929.005,2021,Tech 64
Netherlands,NL,Tech 63,63,7645.52,2021,Tech 63
Netherlands,NL,Tech 74,74,716.515,2021,Tech 74
Netherlands,NL,Tech 73,73,4469.505,2021,Tech 73
Netherlands,NL,Tech 72,72,5186.02,2021,Tech 72
Netherlands,NL,Solar - Photovoltaic,82,2459.5,2021,Solar - Photovoltaic
Netherlands,NL,Tech 81,81,2459.5,2021,Tech 81
Netherlands,NL,Thermal - Fossil Hard Coal,101,12011.684,2021,Thermal - Fossil Hard Coal
Netherlands,NL,Thermal - Fossil Fuels,100,2811.197,2021,Thermal - Fossil Fuels
Netherlands,NL,Conventional Thermal,99,14822.881,2021,Conventional Thermal
Netherlands,NL,Thermal - Fossil Brown Coal/Lignite,110,12011.684,2021,Thermal - Fossil Brown Coal/Lignite
Netherlands,NL,Thermal - Fossil Oil,109,2811.197,2021,Thermal - Fossil Oil
Netherlands,NL,Thermal - Fossil Natural Gas,108,14822.881,2021,Thermal - Fossil Natural Gas
Netherlands,NL,Nuclear,2,19285.445,2021,Nuclear
Netherlands,NL,Fossil Fuels,1,28445.669,2021,Fossil Fuels
Netherlands,NL,Total,0,47731.114,2021,Total
Netherlands,NL,Wave,146,23.203,2021,Wave
Netherlands,NL,Tidal,145,384.0,2021,Tidal
Netherlands,NL,Tidal Wave,144,407.203,2021,Tidal Wave
Poland,PL,Wind Offshore,11,3116.037,2021,Wind Offshore
Poland,PL,Wind Onshore,10,32937.214,2021,Wind Onshore
Poland,PL,Renewables Total,9,36053.251,2021,Renewables Total
Poland,PL,Hard Coal,20,0.5,2021,Hard Coal
Poland,PL,Lignite,19,2397.048,2021,Lignite
Poland,PL,Coal,18,2397.548,2021,Coal
Poland,PL,Other Fossil,29,0.5,2021,Other Fossil
Poland,PL,Oil,28,598.098,2021,Oil
Poland,PL,Fossil - Gas,27,598.598,2021,Fossil - Gas
Poland,PL,Hydro - Run-of-River,37,375.95,2021,Hydro - Run-of-River
Poland,PL,Tech 36,36,375.95,2021,Tech 36
Poland,PL,Biomass - Gas,46,1423.0,2021,Biomass - Gas
Poland,PL,Biomass - Solid,45,1423.0,2021,Biomass - Solid
Poland,PL,Tech 64,64,6967.339,2021,Tech 64
Poland,PL,Tech 63,63,6967.339,2021,Tech 63
Poland,PL,Thermal - Fossil Hard Coal,101,6817.4,2021,Thermal - Fossil Hard Coal
Poland,PL,Conventional Thermal,99,6817.4,2021,Conventional Thermal
Poland,PL,Thermal - Fossil Brown Coal/Lignite,110,6817.4,2021,Thermal - Fossil Brown Coal/Lignite
Poland,PL,Thermal - Fossil Natural Gas,108,6817.4,2021,Thermal - Fossil Natural Gas
Poland,PL,Nuclear - Reactor Type B,119,7415.518,2021,Nuclear - Reactor Type B
Poland,PL,Thermal - Nuclear,117,7415.518,2021,Thermal - Nuclear
Poland,PL,Nuclear,2,9934.337,2021,Nuclear
Poland,PL,Fossil Fuels,1,42301.601,2021,Fossil Fuels
Poland,PL,Total,0,52235.938,2021,Total
Poland,PL,Wave,146,0.4,2021,Wave
Poland,PL,Tidal Wave,144,0.4,2021,Tidal Wave
Austria,AT,Wind Offshore,11,2169.113,2021,Wind Offshore
Austria,AT,Wind Onshore,10,4991.332,2021,Wind Onshore
Austria,AT,Renewables Total,9,7160.445,2021,Renewables Total
Austria,AT,Tech 14,14,340.228,2021,Tech 14
Austria,AT,Hydro Total,13,382.827,2021,Hydro Total
Austria,AT,Solar,12,723.055,2021,Solar
Austria,AT,Hard Coal,20,434.326,2021,Hard Coal
Austria,AT,Lignite,19,14312.602,2021,Lignite
Austria,AT,Coal,18,14746.928,2021,Coal
Austria,AT,Other Fossil,29,434.326,2021,Other Fossil
Austria,AT,Oil,28,8552.322,2021,Oil
Austria,AT,Fossil - Gas,27,8986.648,2021,Fossil - Gas
Austria,AT,Gas - Natural Gas,31,84.353,2021,Gas - Natural Gas
Austria,AT,Peat,30,84.353,2021,Peat
Austria,AT,Other Gases,35,0.911,2021,Other Gases
Austria,AT,Liquefied Gas,33,0.911,2021,Liquefied Gas
Austria,AT,Hydro - Run-of-River,37,5760.28,2021,Hydro - Run-of-River
Austria,AT,Tech 36,36,5760.28,2021,Tech 36
Austria,AT,Municipal Waste,40,28.98,2021,Municipal Waste
Austria,AT,Industrial Waste,39,28.98,2021,Industrial Waste
Austria,AT,Solar Thermal,55,0.25,2021,Solar Thermal
Austria,AT,Solar PV,54,0.25,2021,Solar PV
Austria,AT,Not Elsewhere Classified,61,0.665,2021,Not Elsewhere Classified
Austria,AT,Other Non-Renewable,60,0.665,2021,Other Non-Renewable
Austria,AT,Tech 64,64,3422.335,2021,Tech 64
Austria,AT,Tech 63,63,3422.335,2021,Tech 63
Austria,AT,Tech 73,73,3422.335,2021,Tech 73
Austria,AT,Tech 72,72,3422.335,2021,Tech 72
Austria,AT,Tech 76,76,196.356,2021,Tech 76
Austria,AT,Tech 75,75,196.356,2021,Tech 75
Austria,AT,Thermal - Fossil Hard Coal,101,2676.93,2021,Thermal - Fossil Hard Coal
Austria,AT,Thermal - Fossil Fuels,100,105.672,2021,Thermal - Fossil Fuels
Austria,AT,Conventional Thermal,99,2782.602,2021,Conventional Thermal
Austria,AT,Nuclear - Reactor Type B,119,2676.93,2021,Nuclear - Reactor Type B
Austria,AT,Nuclear - Reactor Type A,118,105.672,2021,Nuclear - Reactor Type A
Austria,AT,Thermal - Nuclear,117,2782.602,2021,Thermal - Nuclear
Austria,AT,Hydro - Pumped Storage,122,2675.714,2021,Hydro - Pumped Storage
Austria,AT,Nuclear - Other,120,2675.714,2021,Nuclear - Other
Austria,AT,Tech 124,124,1936.046,2021,Tech 124
Austria,AT,Hydro - Other,123,1936.046,2021,Hydro - Other
Austria,AT,Nuclear,2,5280.369,2021,Nuclear
Austria,AT,Fossil Fuels,1,22840.191,2021,Fossil Fuels
Austria,AT,Total,0,28120.56,2021,Total
Austria,AT,Tidal,145,8.0,2021,Tidal
Austria,AT,Tidal Wave,144,8.0,2021,Tidal Wave
Bulgaria,BG,Wind Offshore,11,171.05,2021,Wind Offshore
Bulgaria,BG,Wind Onshore,10,3682.936,2021,Wind Onshore
Bulgaria,BG,Renewables Total,9,3853.986,2021,Renewables Total
Bulgaria,BG,Wind - Offshore (Detailed),136,2006.0,2021,Wind - Offshore (Detailed)
Bulgaria,BG,Wind - Onshore (Detailed),135,2006.0,2021,Wind - Onshore (Detailed)
Bulgaria,BG,Lignite,19,3369.233,2021,Lignite
Bulgaria,BG,Coal,18,3369.233,2021,Coal
Bulgaria,BG,Oil,28,2356.233,2021,Oil
Bulgaria,BG,Fossil - Gas,27,2356.233,2021,Fossil - Gas
Bulgaria,BG,Hydro - Run-of-River,37,149.0,2021,Hydro - Run-of-River
Bulgaria,BG,Tech 36,36,149.0,2021,Tech 36
Bulgaria,BG,Biomass - Gas,46,864.0,2021,Biomass - Gas
Bulgaria,BG,Biomass - Solid,45,864.0,2021,Biomass - Solid
Bulgaria,BG,Tech 64,64,704.375,2021,Tech 64
Bulgaria,BG,Tech 63,63,704.375,2021,Tech 63
Bulgaria,BG,Thermal - Fossil Fuels,100,1274.713,2021,Thermal - Fossil Fuels
Bulgaria,BG,Conventional Thermal,99,1274.713,2021,Conventional Thermal
Bulgaria,BG,Thermal - Fossil Oil,109,1274.713,2021,Thermal - Fossil Oil
Bulgaria,BG,Thermal - Fossil Natural Gas,108,1274.713,2021,Thermal - Fossil Natural Gas
Bulgaria,BG,Nuclear - Reactor Type A,118,1274.713,2021,Nuclear - Reactor Type A
Bulgaria,BG,Thermal - Nuclear,117,1274.713,2021,Thermal - Nuclear
Bulgaria,BG,Nuclear,2,171.05,2021,Nuclear
Bulgaria,BG,Fossil Fuels,1,11037.257,2021,Fossil Fuels
Bulgaria,BG,Total,0,11208.307,2021,Total
Belgium,BE,Wind Offshore,11,1699.3,2021,Wind Offshore
Belgium,BE,Wind Onshore,10,6272.5,2021,Wind Onshore
Belgium,BE,Renewables Total,9,7971.8,2021,Renewables Total
Belgium,BE,Wind - Offshore (Detailed),136,5942.0,2021,Wind - Offshore (Detailed)
Belgium,BE,Wind - Onshore (Detailed),135,5942.0,2021,Wind - Onshore (Detailed)
Belgium,BE,Lignite,19,1417.7,2021,Lignite
Belgium,BE,Coal,18,1417.7,2021,Coal
Belgium,BE,Oil,28,110.7,2021,Oil
Belgium,BE,Fossil - Gas,27,110.7,2021,Fossil - Gas
Belgium,BE,Gas - Natural Gas,31,4.9,2021,Gas - Natural Gas
Belgium,BE,Peat,30,4.9,2021,Peat
Belgium,BE,Biomass - Gas,46,1307.0,2021,Biomass - Gas
Belgium,BE,Biomass - Solid,45,1307.0,2021,Biomass - Solid
Belgium,BE,Tech 65,65,10.8,2021,Tech 65
Belgium,BE,Tech 64,64,4937.6,2021,Tech 64
Belgium,BE,Tech 63,63,4948.4,2021,Tech 63
Belgium,BE,Tech 74,74,10.8,2021,Tech 74
Belgium,BE,Tech 73,73,2675.8,2021,Tech 73
Belgium,BE,Tech 72,72,2686.6,2021,Tech 72
Belgium,BE,Solar - Photovoltaic,82,2261.8,2021,Solar - Photovoltaic
Belgium,BE,Tech 81,81,2261.8,2021,Tech 81
Belgium,BE,Thermal - Fossil Hard Coal,101,5923.9,2021,Thermal - Fossil Hard Coal
Belgium,BE,Thermal - Fossil Fuels,100,9.1,2021,Thermal - Fossil Fuels
Belgium,BE,Conventional Thermal,99,5933.0,2021,Conventional Thermal
Belgium,BE,Thermal - Fossil Brown Coal/Lignite,110,5923.9,2021,Thermal - Fossil Brown Coal/Lignite
Belgium,BE,Thermal - Fossil Oil,109,9.1,2021,Thermal - Fossil Oil
Belgium,BE,Thermal - Fossil Natural Gas,108,5933.0,2021,Thermal - Fossil Natural Gas
Belgium,BE,Thermal - Gas Derived,112,4.5,2021,Thermal - Gas Derived
Belgium,BE,Thermal - Peat,111,4.5,2021,Thermal - Peat
Belgium,BE,Nuclear - Reactor Type B,119,6972.8,2021,Nuclear - Reactor Type B
Belgium,BE,Nuclear - Reactor Type A,118,10.8,2021,Nuclear - Reactor Type A
Belgium,BE,Thermal - Nuclear,117,6983.6,2021,Thermal - Nuclear
Belgium,BE,Hydro - Reservoir,121,5.3,2021,Hydro - Reservoir
Belgium,BE,Nuclear - Other,120,5.3,2021,Nuclear - Other
Belgium,BE,Nuclear,2,7634.5,2021,Nuclear
Belgium,BE,Fossil Fuels,1,18591.4,2021,Fossil Fuels
Belgium,BE,Total,0,26225.9,2021,Total
Belgium,BE,Wave,146,0.5,2021,Wave
Belgium,BE,Tidal,145,12.5,2021,Tidal
Belgium,BE,Tidal Wave,144,13.0,2021,Tidal Wave
Belgium,BE,Ocean Thermal,148,10.0,2021,Ocean Thermal
Belgium,BE,Fuel Cell,147,10.0,2021,Fuel Cell
Greece,EL,Wind Offshore,11,596.248,2021,Wind Offshore
Greece,EL,Wind Onshore,10,9013.52,2021,Wind Onshore
Greece,EL,Renewables Total,9,9609.768,2021,Renewables Total
Greece,EL,Tech 14,14,9.101,2021,Tech 14
Greece,EL,Solar,12,9.101,2021,Solar
Greece,EL,Lignite,19,3421.0,2021,Lignite
Greece,EL,Coal,18,3421.0,2021,Coal
Greece,EL,Oil,28,2722.0,2021,Oil
Greece,EL,Fossil - Gas,27,2722.0,2021,Fossil - Gas
Greece,EL,Hydro - Run-of-River,37,699.0,2021,Hydro - Run-of-River
Greece,EL,Tech 36,36,699.0,2021,Tech 36
Greece,EL,Tech 64,64,4649.13,2021,Tech 64
Greece,EL,Tech 63,63,4649.13,2021,Tech 63
Greece,EL,Thermal - Fossil Fuels,100,4277.42,2021,Thermal - Fossil Fuels
Greece,EL,Conventional Thermal,99,4277.42,2021,Conventional Thermal
Greece,EL,Thermal - Fossil Oil,109,4277.42,2021,Thermal - Fossil Oil
Greece,EL,Thermal - Fossil Natural Gas,108,4277.42,2021,Thermal - Fossil Natural Gas
Greece,EL,Nuclear - Reactor Type A,118,4277.42,2021,Nuclear - Reactor Type A
Greece,EL,Thermal - Nuclear,117,4277.42,2021,Thermal - Nuclear
Greece,EL,Nuclear,2,596.248,2021,Nuclear
Greece,EL,Fossil Fuels,1,21361.07,2021,Fossil Fuels
Greece,EL,Total,0,21957.318,2021,Total
Portugal,PT,Wind Offshore,11,1888.567,2021,Wind Offshore
Portugal,PT,Wind Onshore,10,5098.362,2021,Wind Onshore
Portugal,PT,Renewables Total,9,6986.929,2021,Renewables Total
Portugal,PT,Tech 14,14,4.411,2021,Tech 14
Portugal,PT,Solar,12,4.411,2021,Solar
Portugal,PT,Hard Coal,20,6.191,2021,Hard Coal
Portugal,PT,Lignite,19,7248.711,2021,Lignite
Portugal,PT,Coal,18,7254.902,2021,Coal
Portugal,PT,Other Fossil,29,6.191,2021,Other Fossil
Portugal,PT,Oil,28,4484.311,2021,Oil
Portugal,PT,Fossil - Gas,27,4490.502,2021,Fossil - Gas
Portugal,PT,Gas - Derived Gas,32,0.091,2021,Gas - Derived Gas
Portugal,PT,Gas - Natural Gas,31,14.005,2021,Gas - Natural Gas
Portugal,PT,Peat,30,14.096,2021,Peat
Portugal,PT,Hydro - Run-of-River,37,2764.4,2021,Hydro - Run-of-River
Portugal,PT,Tech 36,36,2764.4,2021,Tech 36
Portugal,PT,Solar Thermal,55,29.1,2021,Solar Thermal
Portugal,PT,Solar PV,54,29.1,2021,Solar PV
Portugal,PT,Tech 65,65,4.038,2021,Tech 65
Portugal,PT,Tech 64,64,5423.288,2021,Tech 64
Portugal,PT,Tech 63,63,5427.326,2021,Tech 63
Portugal,PT,Tech 77,77,0.001,2021,Tech 77
Portugal,PT,Tech 76,76,305.066,2021,Tech 76
Portugal,PT,Tech 75,75,305.067,2021,Tech 75
Portugal,PT,Thermal - Fossil Hard Coal,101,731.381,2021,Thermal - Fossil Hard Coal
