country,total_capacity_mw,wind_onshore_mw,wind_offshore_mw,wind_total_mw,solar_mw,hydro_mw,renewables_mw,nuclear_mw,coal_mw,gas_mw,renewable_share_%,year
Czechia,117902.2,10268.1,1632.1,11900.2,116.2,0.0,12016.4,3545.7,5963.6,0.0,10.19,2023
Poland,336411.4,29709.2,3328.5,33037.7,0.0,0.0,33037.7,17325.1,30402.3,0.0,9.82,2023
Italy,740109.8,51219.0,9796.6,61015.6,1576.6,0.0,62592.2,25961.9,54805.2,0.0,8.46,2023
Denmark,96574.2,6982.9,533.6,7516.5,50.2,0.0,7566.7,4062.6,7065.1,0.0,7.84,2023
Greece,155276.9,9819.5,633.7,10453.2,18.7,0.0,10471.9,633.7,3459.0,0.0,6.74,2023
Bulgaria,83125.4,5131.9,354.1,5486.0,66.1,0.0,5552.1,500.1,3716.1,0.0,6.68,2023
Netherlands,372545.6,17711.8,6642.2,24353.9,171.1,0.0,24525.0,25422.3,35679.1,0.0,6.58,2023
Germany,1596920.0,88957.0,11476.0,100433.0,127.0,0.0,100560.0,52752.0,92745.0,0.0,6.3,2023
Romania,98715.2,3955.6,1772.3,5727.9,0.0,0.0,5727.9,3519.5,9907.6,0.0,5.8,2023
Spain,692321.8,33532.4,5871.7,39404.1,0.0,0.0,39404.1,12283.4,32398.0,0.0,5.69,2023
Belgium,169862.0,6184.3,1797.7,7982.0,10.3,0.0,7992.3,10153.9,18107.3,0.0,4.71,2023
Portugal,144538.2,4524.7,1596.6,6121.3,0.0,0.0,6121.3,3561.1,12101.2,0.0,4.24,2023
Austria,189074.3,4506.6,1846.6,6353.2,182.8,0.0,6535.9,8962.0,22067.5,0.0,3.46,2023
France,826121.5,17624.5,3772.7,21397.2,531.2,0.0,21928.3,10407.7,37593.2,0.0,2.65,2023
Sweden,304366.0,6295.0,1435.0,7730.0,31.0,0.0,7761.0,3491.0,20518.0,0.0,2.55,2023
