country,total_installed_mw,solar_pv_mw,solar_pv_pct
Denmark,96574.16799999999,2469.1,2.5566878298138693
Belgium,169862.0,2261.8,1.3315514947427913
Netherlands,372545.554,4109.5,1.103086577165272
Germany,1596920.0,8525.0,0.5338401422738772
France,826121.5430000001,1499.15,0.18146845493896047
Italy,740109.754,802.784,0.1084682367258735
Sweden,304366.0,293.0,0.0962656801351005
Portugal,144538.18199999997,54.099000000000004,0.03742886429829318
Spain,692321.786,5.0,0.0007222075198425144
Austria,189074.29200000002,0.25,0.00013222315808010535
Bulgaria,83125.368,0.0,0.0
Czechia,117902.16799999999,0.0,0.0
Greece,155276.94600000003,0.0,0.0
Poland,336411.44,0.0,0.0
Romania,98715.192,0.0,0.0
